

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.105  000.098: event init
000.175  000.071: early init
000.214  000.039: locale set
000.244  000.030: init first window
000.486  000.242: inits 1
000.502  000.015: window checked
000.505  000.004: parsing arguments
001.099  000.054  000.054: require('vim.shared')
001.217  000.045  000.045: require('vim._options')
001.220  000.116  000.071: require('vim._editor')
001.221  000.224  000.054: require('vim._init_packages')
001.223  000.493: init lua interpreter
001.285  000.062: expanding arguments
001.320  000.035: inits 2
001.628  000.308: init highlight
001.629  000.002: waiting for UI
001.850  000.220: done waiting for UI
001.860  000.010: clear screen
002.028  000.167: init default mappings & autocommands
003.228  000.050  000.050: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/ftplugin.vim
003.359  000.017  000.017: sourcing /home/shubh-deb/.local/bin/nvim-linux64/share/nvim/runtime/indent.vim
004.464  000.166  000.166: require('packer.util')
004.489  000.858  000.693: require('packer')
005.149  000.175  000.175: require('packer.log')
005.152  000.313  000.138: require('packer.async')
005.414  000.096  000.096: require('packer.result')
005.417  000.264  000.168: require('packer.jobs')
005.420  000.910  000.333: require('packer.plugin_utils')
005.601  000.175  000.175: require('packer.snapshot')
005.818  002.316  000.373: require('myNvimConfig.plugin-setup')
006.164  000.156  000.156: require('tokyonight.util')
006.924  000.135  000.135: require('tokyonight.colors')
006.926  000.761  000.626: require('tokyonight.theme')
007.043  000.116  000.116: require('tokyonight.config')
007.045  001.183  000.150: require('tokyonight')
007.919  000.665  000.665: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/ayu-vim/colors/ayu.vim
007.926  002.085  000.238: require('myNvimConfig.core.colorScheme')
008.028  000.010  000.010: require('vim.keymap')
008.263  000.336  000.326: require('myNvimConfig.core.keymaps')
009.266  000.906  000.906: sourcing /home/shubh-deb/.local/share/nvim/site/pack/packer/start/ayu-vim/colors/ayu.vim
009.347  001.082  000.176: require('myNvimConfig.core.options')
009.349  003.529  000.026: require('myNvimConfig.core')
010.464  000.122  000.122: require('cmp.utils.debug')
010.841  000.179  000.179: require('cmp.utils.char')
010.848  000.380  000.201: require('cmp.utils.str')
011.487  000.215  000.215: require('cmp.utils.misc')
011.601  000.110  000.110: require('cmp.utils.buffer')
011.755  000.151  000.151: require('cmp.utils.api')
011.765  000.771  000.295: require('cmp.utils.keymap')
011.771  000.920  000.150: require('cmp.utils.feedkeys')
012.738  000.125  000.125: require('cmp.types.cmp')
012.964  000.222  000.222: require('cmp.types.lsp')
013.068  000.101  000.101: require('cmp.types.vim')
013.071  000.576  000.127: require('cmp.types')
013.078  000.817  000.241: require('cmp.config.mapping')
013.203  000.123  000.123: require('cmp.utils.cache')
013.647  000.273  000.273: require('cmp.config.compare')
013.651  000.444  000.171: require('cmp.config.default')
013.672  001.629  000.245: require('cmp.config')
013.699  001.927  000.298: require('cmp.utils.async')
013.992  000.115  000.115: require('cmp.utils.pattern')
013.997  000.296  000.181: require('cmp.context')
015.162  000.282  000.282: require('cmp.matcher')
015.171  000.826  000.543: require('cmp.entry')
015.180  001.181  000.355: require('cmp.source')
015.655  000.128  000.128: require('cmp.utils.event')
016.270  000.091  000.091: require('cmp.utils.options')
016.276  000.406  000.315: require('cmp.utils.window')
016.279  000.620  000.214: require('cmp.view.docs_view')
017.219  000.106  000.106: require('cmp.utils.autocmd')
017.238  000.958  000.852: require('cmp.view.custom_entries_view')
017.527  000.288  000.288: require('cmp.view.wildmenu_entries_view')
017.780  000.249  000.249: require('cmp.view.native_entries_view')
017.955  000.172  000.172: require('cmp.view.ghost_text_view')
018.032  002.850  000.436: require('cmp.view')
018.370  008.494  000.817: require('cmp.core')
018.588  000.092  000.092: require('cmp.config.sources')
018.663  000.072  000.072: require('cmp.config.window')
018.872  009.356  000.698: require('cmp')
020.007  000.022  000.022: require('luasnip.util.types')
020.028  000.018  000.018: require('luasnip.util.lazy_table')
020.069  000.040  000.040: require('luasnip.extras.filetype_functions')
020.075  000.183  000.104: require('luasnip.default_config')
020.077  000.218  000.035: require('luasnip.session')
020.080  000.458  000.240: require('luasnip.util.util')
020.438  000.062  000.062: require('luasnip.util.ext_opts')
020.458  000.018  000.018: require('luasnip.nodes.key_indexer')
020.461  000.380  000.300: require('luasnip.nodes.util')
020.606  000.026  000.026: require('luasnip.session.snippet_collection.source')
020.629  000.021  000.021: require('luasnip.util.table')
020.661  000.031  000.031: require('luasnip.util.auto_table')
020.666  000.203  000.124: require('luasnip.session.snippet_collection')
020.893  000.068  000.068: require('luasnip.util.select')
020.914  000.020  000.020: require('luasnip.util.time')
021.051  000.315  000.227: require('luasnip.util._builtin_vars')
021.076  000.023  000.023: require('vim.inspect')
021.095  000.429  000.091: require('luasnip.util.environ')
021.134  000.038  000.038: require('luasnip.util.extend_decorator')
021.317  000.108  000.108: require('luasnip.util.path')
021.510  000.078  000.078: require('luasnip.util.log')
021.513  000.195  000.117: require('luasnip.loaders.util')
021.537  000.003  000.003: require('vim.F')
021.539  000.024  000.021: require('luasnip.loaders.data')
021.756  000.216  000.216: require('luasnip.loaders.fs_watchers')
021.759  000.624  000.080: require('luasnip.loaders')
021.846  000.075  000.075: require('luasnip.config')
021.848  002.974  000.767: require('luasnip')
022.094  000.026  000.026: require('luasnip.session.enqueueable_operations')
022.304  000.208  000.208: require('luasnip.util.jsonc')
023.059  000.022  000.022: require('luasnip.util.events')
023.069  000.224  000.202: require('luasnip.nodes.node')
023.301  000.231  000.231: require('luasnip.nodes.insertNode')
023.362  000.060  000.060: require('luasnip.nodes.textNode')
023.463  000.099  000.099: require('luasnip.util.mark')
023.527  000.062  000.062: require('luasnip.util.pattern_tokenizer')
023.566  000.037  000.037: require('luasnip.util.dict')
024.016  000.385  000.385: require('luasnip.util.jsregexp')
024.019  000.452  000.066: require('luasnip.nodes.util.trig_engines')
024.062  001.685  000.520: require('luasnip.nodes.snippet')
024.066  001.723  000.038: require('luasnip.nodes.duplicate')
024.068  001.763  000.040: require('luasnip.loaders.snippet_cache')
024.075  002.226  000.228: require('luasnip/loaders/from_vscode')
026.466  000.148  000.148: require('luasnip.util.parser.neovim_ast')
026.647  000.178  000.178: require('luasnip.util.str')
027.105  000.447  000.447: require('luasnip.util.jsregexp')
027.235  000.128  000.128: require('luasnip.util.directed_graph')
027.240  001.194  000.293: require('luasnip.util.parser.ast_utils')
027.332  000.091  000.091: require('luasnip.nodes.functionNode')
027.502  000.169  000.169: require('luasnip.nodes.choiceNode')
027.642  000.139  000.139: require('luasnip.nodes.dynamicNode')
027.675  000.032  000.032: require('luasnip.util.functions')
027.679  001.780  000.156: require('luasnip.util.parser.ast_parser')
027.857  000.177  000.177: require('luasnip.util.parser.neovim_parser')
027.861  002.039  000.082: require('luasnip.util.parser')
027.864  002.135  000.095: require('luasnip.nodes.snippetProxy')
027.916  000.051  000.051: require('luasnip.nodes.multiSnippet')
029.183  019.779  003.037: require('myNvimConfig.plugins.cmp')
029.601  000.057  000.057: require('nvim-autopairs._log')
029.738  000.135  000.135: require('nvim-autopairs.utils')
